eye, blinked, time
right,False,1694904558.9515967
left,False,1694904558.9861429
left,True,1694904559.0459456
right,True,1694904559.0616899
right,False,1694904559.8074806
left,False,1694904559.8094757
right,True,1694904559.987894
left,True,1694904560.4340906
right,True,1694904560.6151783
left,False,1694904560.6671922
left,True,1694904560.8442938
right,False,1694904560.9395976
right,True,1694904560.9803567
left,False,1694904561.5147266
right,False,1694904561.5672984
right,True,1694904561.6149359
left,True,1694904561.656086
right,False,1694904563.0008013
right,True,1694904563.0908968
right,False,1694904563.9007711
left,False,1694904563.9513845
left,True,1694904564.0000634
right,True,1694904564.0415556
left,False,1694904565.611202
right,False,1694904565.6539931
right,True,1694904565.9851136
left,True,1694904566.474757
right,False,1694904566.5606825
left,False,1694904566.6505775
right,True,1694904567.0099533
left,True,1694904567.0944564
right,False,1694904568.4005802
left,False,1694904568.4105787
left,True,1694904568.633851
left,False,1694904568.775598
left,True,1694904569.3003857
right,False,1694904569.3975258
left,False,1694904569.4897292
left,True,1694904569.8031282
right,True,1694904569.891643
left,False,1694904570.6957724
left,True,1694904571.0622208
right,False,1694904571.150872
left,False,1694904571.2867925
right,True,1694904571.5127988
left,True,1694904571.874357
left,False,1694904572.1910133
right,False,1694904572.4708602
right,True,1694904572.501558
right,False,1694904573.0790641
right,True,1694904573.1335936
right,False,1694904574.969787
right,True,1694904575.1139326
right,False,1694904580.145684
right,True,1694904580.2419186
left,False,1694904580.7371545
left,True,1694904580.8267193
right,False,1694904581.0062482
left,False,1694904581.0187821
right,True,1694904581.321347
left,True,1694904581.4131556
right,False,1694904581.5014536
right,True,1694904581.6306596
right,False,1694904583.4297762
left,False,1694904583.4368124
left,True,1694904583.8453715
right,True,1694904584.024585
right,False,1694904586.7597055
left,False,1694904586.8119795
left,True,1694904586.9504607
right,True,1694904587.523944
left,False,1694904590.5424006
right,False,1694904590.5513425
left,False,1694904591.8005736
left,True,1694904591.944594
right,False,1694904592.1223
right,True,1694904592.2555525
right,False,1694904592.526317
left,False,1694904592.5726867
left,True,1694904592.6239386
right,True,1694904592.6998107
left,False,1694904593.869747
left,True,1694904594.139728
left,False,1694904594.275045
left,True,1694904594.2760627
left,False,1694904594.45505
left,True,1694904594.7316046
right,False,1694904594.7765431
left,False,1694904596.7952726
right,False,1694904596.8034675
left,True,1694904597.1191905
right,True,1694904597.2085679
right,False,1694904598.5972795
right,True,1694904598.8263566
left,False,1694904598.876881
left,True,1694904598.9703782
right,False,1694904599.2251673
left,False,1694904599.2261906
left,True,1694904599.4069643
right,True,1694904599.4516716
right,False,1694904599.8238528
right,True,1694904599.9613276
right,False,1694904601.3438797
right,True,1694904601.5310235
left,False,1694904602.0260043
left,True,1694904602.0683575
right,False,1694904602.4728909
left,False,1694904602.4819076
left,True,1694904602.7439861
right,True,1694904602.7877867
right,False,1694904603.90706
right,True,1694904604.5800486
right,False,1694904604.8629942
right,True,1694904604.9017797
right,False,1694904605.3147283
left,False,1694904605.351101
left,True,1694904605.490429
right,True,1694904605.5288293
right,False,1694904605.7052362
right,True,1694904606.516806
left,False,1694904606.7475398
right,False,1694904606.7926152
left,True,1694904606.8394165
right,False,1694904607.7287986
right,True,1694904608.134783
right,False,1694904608.225618
left,False,1694904608.226613
right,True,1694904608.270748
left,True,1694904608.3140602
left,False,1694904608.4519897
left,True,1694904608.494431
left,False,1694904608.6306415
left,True,1694904608.6745434
right,False,1694904608.7202063
right,True,1694904608.7650023
left,False,1694904609.2137299
right,False,1694904609.304166
left,True,1694904609.5369194
right,True,1694904609.5825143
right,False,1694904609.6751966
right,True,1694904609.8001864
left,False,1694904610.081006
left,True,1694904610.3495948
right,False,1694904610.9703047
left,False,1694904611.5546052
right,True,1694904611.6085317
left,True,1694904611.6554232
right,False,1694904611.7920628
left,False,1694904611.7930636
left,True,1694904611.9621172
right,True,1694904612.1400042
right,False,1694904612.725166
left,False,1694904612.8720336
left,True,1694904613.1377416
left,False,1694904613.7588606
left,True,1694904613.8151507
right,False,1694904614.037174
left,False,1694904614.0852435
left,True,1694904614.4035392
left,False,1694904614.5492132
left,True,1694904614.5774233
right,True,1694904614.6168785
right,False,1694904614.7048779
right,True,1694904615.6523383
right,False,1694904615.840441
left,False,1694904615.881073
left,True,1694904615.9746997
right,True,1694904616.5943425
right,False,1694904618.9346879
right,True,1694904619.1171815
left,False,1694904619.2493942
left,True,1694904619.4036522
right,False,1694904619.4829352
right,True,1694904619.5272815
left,False,1694904619.5282862
left,True,1694904619.5656557
right,False,1694904619.6550028
right,True,1694904619.699109
right,False,1694904620.238351
right,True,1694904620.297447
left,False,1694904620.3846283
right,False,1694904620.429329
left,True,1694904620.5099506
right,True,1694904620.5998402
right,False,1694904622.6714861
left,False,1694904622.6814647
right,True,1694904622.7685075
left,True,1694904622.8131926
right,False,1694904624.1118968
left,False,1694904624.1541643
left,True,1694904624.20161
right,True,1694904624.2463903
left,False,1694904624.659436
left,True,1694904624.784568
right,False,1694904626.7193923
left,False,1694904626.7731488
left,True,1694904627.0035634
left,False,1694904627.224131
right,True,1694904627.4931712
left,True,1694904627.5390644
right,False,1694904628.9705637
left,False,1694904629.0234642
right,True,1694904629.2571516
left,True,1694904629.2946959
left,False,1694904631.3094258
left,True,1694904631.3641496
left,False,1694904632.1652894
right,False,1694904632.622551
left,True,1694904633.0385168
right,True,1694904633.0763862
right,False,1694904633.2527256
right,False,1694904634.912802
left,False,1694904634.9158113
right,True,1694904635.000538
left,True,1694904635.0454714
right,False,1694904637.0280378
left,False,1694904637.0320373
right,True,1694904637.1603277
left,True,1694904637.2043319
left,False,1694904638.0604436
left,True,1694904638.104695
left,False,1694904641.02978
left,True,1694904641.1752777
left,False,1694904641.8874154
left,True,1694904641.9372938
right,False,1694904644.3153
left,False,1694904644.3682573
left,True,1694904644.4162083
right,True,1694904644.547464
left,False,1694904644.7641923
left,True,1694904644.8111715
left,False,1694904646.16125
left,True,1694904646.3055043
right,False,1694904646.5390806
right,True,1694904646.7147715
left,False,1694904647.0287492
left,False,1694904647.960969
left,True,1694904648.2877994
right,False,1694904648.550647
left,False,1694904648.5975313
left,True,1694904648.6918924
right,True,1694904648.724832
right,False,1694904648.995228
left,False,1694904649.0394418
left,True,1694904649.3183327
right,False,1694904650.347949
left,False,1694904650.3974094
left,True,1694904650.4870622
right,True,1694904650.5328114
right,False,1694904650.97402
right,True,1694904650.9750183
